image,caption
1095476286_87d4f8664e.jpg,A child plays in a fountain .
1095580424_76f0aa8a3e.jpg,The small brown and white dog is running out of a small tunnel .
1095590286_c654f7e5a9.jpg,two dogs running around
1095980313_3c94799968.jpg,A little girl in a blue swimsuit is walking along a wooden fence next to a sandy beach .
1096097967_ac305887b4.jpg,A black and white dog drinking water from a water spray .
1096165011_cc5eb16aa6.jpg,A smiling boy swims underwater in a pool .
1096395242_fc69f0ae5a.jpg,A young child plays with his new light-up toy .
109671650_f7bbc297fa.jpg,Child stands near edge of cliff .
109738763_90541ef30d.jpg,A snowmobile rider flies through the air on his or her machine in front of tall pine trees .
109738916_236dc456ac.jpg,Several people are taking a break while on a snowmobiling ride .
109823394_83fcb735e1.jpg,Three people ride their four wheelers through the field .
109823395_6fb423a90f.jpg,A four wheeler jumping in an empty field .
109823397_e35154645f.jpg,An ATV is airborne over a field in front of a white structure .
1100214449_d10861e633.jpg,A boy is jumping off the side of a running stone water fountain in front of a building .
1104133405_c04a00707f.jpg,A boy walks with a soccer ball near a fence .
1105959054_9c3a738096.jpg,A child painting a picture .
110595925_f3395c8bd6.jpg,"Man bicycle up a road , while cows graze on a hill nearby ."
1107246521_d16a476380.jpg,A large black dog is playing in a grassy yard .
1107471216_4336c9b328.jpg,Girl with rosy cheeks and lips holding black toy gun .
1110208841_5bb6806afe.jpg,A brown and white dug jumping up to catch a Frisbee while an audience watches .
1112212364_0c48235fc2.jpg,A small boy is playing with rocks
111497985_38e9f88856.jpg,The person in the striped shirt is mountain climbing .
111537217_082a4ba060.jpg,"Man with red shoes , white shirt and grey pants climbing ."
111537222_07e56d5a30.jpg,a rock climber climbs a large rock .
1115565519_d976d4b1f1.jpg,The little girl is playing with a toy in a public fountain .
1115679311_245eff2f4b.jpg,A dog is running on the beach .
111766423_4522d36e56.jpg,A black and white bird standing on a hand .
1117972841_2b9261f95f.jpg,A brown dog plays at the beach .
1118557877_736f339752.jpg,A little boy stands in the surf .
1119015538_e8e796281e.jpg,this is a small beige dog running through a grassy field
1119418776_58e4b93eac.jpg,"A brown , black and white dog is running through a large field with its mouth open ."
1119463452_69d4eecd08.jpg,A little girl swimming in a pool .
1121416483_c7902d0d49.jpg,A young girl does a handstand on a bed with blue sheets .
112178718_87270d9b4d.jpg,A man holds a surfboard on the beach .
112243673_fd68255217.jpg,Three people are riding around on ATV 's and motorcycles .
1122944218_8eb3607403.jpg,Baby in white outfit holding black and white flag .
1124448967_2221af8dc5.jpg,An older man sits back and relaxes on a patio outside an adobe building where many bicycles are propped .
1129704496_4a61441f2c.jpg,Two dogs tug at a chew toy in the surf .
1130017585_1a219257ac.jpg,Three women on the street drinking and posing
1130369873_d80a1aa59c.jpg,A brown dog swims through water outdoors with a tennis ball in its mouth .
1130401779_8c30182e3e.jpg,Two dogs splash through the water .
1131155939_b4b457b05e.jpg,"A pile of seaweed sits on the sand , behind it a big black dog is running in the water ."
1131340021_83f46b150a.jpg,A young boy runs while wearing sandals .
1131800850_89c7ffd477.jpg,A brown and white dog stands outside while it snows .
1131804997_177c3c0640.jpg,Two older men with backpacks sit at a bus station .
1131932671_c8d17751b3.jpg,A boy jumped up from the green bed .
1132772170_600610c5df.jpg,A man is standing with his arms folded looking at something while the person behind him is jumping onto one of the two beds in the room .
113678030_87a6a6e42e.jpg,A snowboarder sits on a slope with skiers and boarders nearby .
1138784872_69ade3f2ab.jpg,The child in the green one piece suit is walking past a store window .
114051287_dd85625a04.jpg,A young boy gets out of the van and prepares his shoes for wear during a soccer game .
1141718391_24164bf1b1.jpg,A man and a woman crossing a suspension bridge in a tropical setting .
1141739219_2c47195e4c.jpg,A man is helping a girl step down from a colorful truck whilst a woman and three children watch .
1142283988_6b227c5231.jpg,A young woman hugs a young man who 's wearing a pink costume .
1142847777_2a0c1c2551.jpg,A woman in a blue helmet and brown shorts rides her bike on a busy street .
1143373711_2e90b7b799.jpg,A biker in spandex riding on a busy street .
1143882946_1898d2eeb9.jpg,A woman in a helmet rides her bike behind a car .
1144288288_e5c9558b6a.jpg,A woman in a white shirt and blue shorts is wearing headphones .
1148238960_f8cacec2fc.jpg,People on bicycles waiting at an intersection .
1149179852_acad4d7300.jpg,Shirtless man leading a small horse-drawn covered wagon down a road
114949897_490ca7eaec.jpg,A man holds a net while a boys bats a ball into it .
1151466868_3bc4d9580b.jpg,The little girl splashes through the water .
1153704539_542f7aa3a5.jpg,A girl playing trumpet in a marching band .
1155138244_859fd6e079.jpg,The waitress offers complimentary tea to the patrons .
115684808_cb01227802.jpg,Three people in the snow put their gear in order .
1159574340_99ba8c3c59.jpg,Little boy in sneakers jumping into water .
1160034462_16b38174fe.jpg,An old man in a straw hat sits on a park bench .
1160441615_fe6b3c5277.jpg,Three women walking through a tunnel in a park .
1163282319_b729b24c46.jpg,"A girl dressed in a red top , a red cap , and light colored shorts , sits on a rock outside ."
116409198_0fe0c94f3b.jpg,A mountaineer sits in the snow in front of a yellow tent under clear blue sky .
1164131282_b30926f332.jpg,two dogs are wrestling in a grassy field .
1164765687_7aca07bbe7.jpg,A man in a red shirt is giving toys to a small dog .
1167662968_e466f1e80a.jpg,A guy with a nose piercing .
1167669558_87a8a467d6.jpg,A man in yellow grimaces .
1167908324_8caab45e15.jpg,a man standing in a bar with a neon beer sign hanging on the wall
1169307342_e7a4685a5c.jpg,Two brown dogs run side by side .
1174525839_7c1e6cfa86.jpg,A girl in blue is jumping on the shore as small waves approach her .
1174629344_a2e1a2bdbf.jpg,A group of different people are walking in all different directions in a city .
1176580356_9810d877bf.jpg,A brown and black dog jumps for a red ball .
1177994172_10d143cb8d.jpg,Two children wearing jeans squirt water at each other .
1178705300_c224d9a4f1.jpg,A dog jumps into a backyard pool .
118187095_d422383c81.jpg,Two children ride in toy cars .
118309463_a532b75be9.jpg,Children sporting their Florida Dolphin caps .
1184967930_9e29ce380d.jpg,A dog walks through a field .
1187435567_18173c148b.jpg,A small dog plays with a toy on top of a white blanket .
1187593464_ce862352c6.jpg,A dog running across a grassy field with a stick in its mouth .
1189977786_4f5aaed773.jpg,A grey dog runs alongside a pool while a yellow dog jumps into the pool .
1191338263_a4fa073154.jpg,A little old lady sitting next to an advertisement .
1193116658_c0161c35b5.jpg,A girl rides a unicycle with a child who rides a scooter .
119534510_d52b3781a3.jpg,A man reading a book on the dock near a post .
1197800988_7fb0ca4888.jpg,A person wearing a purple jacket stands behind a tall tree .
1198194316_543cc7b945.jpg,A man in a black shirt and jeans walks beside a woman in black pants and a flowery shirt in front of a refreshment stand with others walking nearby .
1204996216_71d7519d9a.jpg,A little boy lies down on a picnic table bench .
1206506157_c7956accd5.jpg,Two large brown dogs are playing in the grass .
1207159468_425b902bfb.jpg,a young man wearing a blue shirt with a strange white building in the background
1211015912_9f3ee3a995.jpg,A girl in a yellow dress with the sun shining on her face
1213336750_2269b51397.jpg,A man in a black outfit is taking a photograph of a man in a red jacket .
1215334959_b1970965f7.jpg,Family sitting on a bench near the beach .
121800200_bef08fae5f.jpg,A group of climbers begin up a sheer rock face .
121971540_0a986ee176.jpg,Two people stand on the side of a large white and red boat .
1220401002_3f44b1f3f7.jpg,Two children are laughing in the grass .
1222322358_225067636e.jpg,A boy in a red and white shirt is on a swing .
1224851143_33bcdd299c.jpg,A small child dressed in green is eating with a spoon .
1225443522_1633e7121f.jpg,A woman walks down a city sidewalk at night .
1227655020_b11a1bb112.jpg,Two dogs are playing outside in a field .
1229756013_94663527d7.jpg,A brown dog leaping to catch a ball .
1231229740_8dcbf80bfb.jpg,A child in gray clothes is sleeping on a red cushion .
1232148178_4f45cc3284.jpg,There is a little blond hair girl with a green sweatshirt and a red shirt playing on a playground .
1234293791_6566284bcd.jpg,A girl rides a horse .
1234817607_924893f6e1.jpg,An elderly man is smiling while sitting in front of a row of soda cans .
1235580648_7eebaed9bc.jpg,Two men wear silly stove pipe hats and wear makeup .
1235681222_819231767a.jpg,People sit on benches .
1235685934_be89b231fb.jpg,A man in sunglasses on an overpass .
1236951314_0308dc4138.jpg,A swimming person is watching a child jump into a pool with blue water .
1236964638_1808784a3c.jpg,A child is diving into a pool .
1237985362_dbafc59280.jpg,A lady holds a little girl who is trying to catch bubbles .
123889082_d3751e0350.jpg,A brown dog biting a gray dogs ear .
123997871_6a9ca987b1.jpg,Girls wearing sports uniforms and eye protection .
1240297429_c36ae0c58f.jpg,A dog is leaping through the grass .
124195430_d14028660f.jpg,A thin brown horse standing and a small black horse sitting on sand .
1244140539_da4804d828.jpg,A brown and black dog is laying on a shaggy rug .
1244306891_8e78ae1620.jpg,smiling girls in bathing suits sitting on the sand
1244485675_822e6efe60.jpg,A boy in a grey and white shirt looking at his reflection .
1245022983_fb329886dd.jpg,A small girl wearing pink dances on the sidewalk .
1247181182_35cabd76f3.jpg,A man sitting on a cliff in the mountains .
1248357227_2b4175fc39.jpg,The kids play in the wooded area near the water .
1248734482_3038218f3b.jpg,A girl in a pink shirt lies on her back in the grass .
124881487_36e668145d.jpg,The mountain biker in blue rides down a rocky path .
1248940539_46d33ed487.jpg,Three young girls dance on the beach in the sand .
1248953128_24c9f8d924.jpg,Girls in brightly-colred clothes plays with a blue ball .
124972799_de706b6d0b.jpg,Black and brown dog growling at brown cat hiding under wooden bench .
1251558317_4ef844b775.jpg,A woman and a young boy sit on a police motorcycle and smile for the camera .
1252396628_eb81d3905b.jpg,A man in a red biker suit on a red dirt bike going down a muddy road .
1252787177_4b08625897.jpg,Three pairs of granny panties hanging on a line .
125319704_49ead3463c.jpg,Two off road bikers stopped in a creek .
1253264731_e7c689eca5.jpg,A girl wearing a pink shirt and overalls is smiling and there is another child that is out of focus .
1253275679_e955fb7304.jpg,a young boy wearing a clever black and white shirt with his head bowed down
1255504166_f2437febcb.jpg,A child is splashing in the water
1258913059_07c613f7ff.jpg,A couple of people sit outdoors at a table with an umbrella and talk .
1259936608_e3f0064f23.jpg,Children playing in public waterspouts .
1260816604_570fc35836.jpg,"A person in a red car , with a bridge in the background ."
1262077938_8b9516c273.jpg,A young asian woman wearing long shorts and a gray collared t-shirt is sitting on a wooden bench .
1262454669_f1caafec2d.jpg,a woman is sitting on a bench with a latte in her lap and a white dog on a blue leash to her side .
1262583859_653f1469a9.jpg,a biker enjoys a coffee .
1263126002_881ebd7ac9.jpg,A baby in pigtails tries to climb out of their playpen .
1263801010_5c74bf1715.jpg,A man in a red jacket looking out over snow-covered mountains .
1267711451_e2a754b4f8.jpg,A black and white dog is carrying a stick in its mouth .
1269470943_ba7fc49b4d.jpg,A boy laying on the grass face down with a football at his feet .
1271210445_7f7ecf3791.jpg,A birthday celebration taking place for a girl who has reached age 5 .
1271960365_e54033f883.jpg,A black dog runs after another black dog who is carrying a ball .
1273001772_1585562051.jpg,About 12 kids and a few adults get splashed by an off camera source .
127450902_533ceeddfc.jpg,The sun is almost behind the snowy mountains .
127488876_f2d2a89588.jpg,"One man in red shirt and black pants with a man in white shirt and tan shorts , golfing ."
127490019_7c5c08cb11.jpg,A girl is getting ready to swing the club .
1277185009_06478dd457.jpg,A man without a shirt is walking on top of lots of rocks .
1277743944_f4e8c78403.jpg,A boy in a red sweater running on the beach
1280147517_98767ca3b3.jpg,A waterskiing man does a flip behind a speedboat .
1280320287_b2a4b9b7bd.jpg,Two boys waterskiing .
1282392036_5a0328eb86.jpg,Two women crouch near a small child at a medieval fair .
12830823_87d2654e31.jpg,Some children watching fish in a pool .
1285067106_2adc307240.jpg,A young boy is getting ready to through a baseball
1285874746_486731a954.jpg,A dark-skinned woman in a blue dress is standing near a crowd .
1286408831_05282582ed.jpg,A boy with his mouth open and tongue sticking out clinging to a bar next to a platform .
1287064529_aa4e4f3c31.jpg,A Brown furry husky dog sticking out his tongue .
1287073593_f3d2a62455.jpg,Dogs pulling a sled in a sled race .
1287475186_2dee85f1a5.jpg,A young boy sitting on a water jet in a pool .
1287920676_d21a0b289b.jpg,The dogs are joined together with a red harness .
1287931016_fb015e2e10.jpg,A black and a white dog on the snow .
1287982439_6578006e22.jpg,A brown dog barks over its shoulder in the water .
1288909046_d2b2b62607.jpg,"A brown , fluffy dog jumping into a swimming pool after a red toy ."
128912885_8350d277a4.jpg,A dog jumps for a red ball on the grass .
1289142574_2bd6a082dd.jpg,A young boy is running on picnic tables at a park .
1290894194_8a4ffdc7eb.jpg,A woman squatting to face a small child while holding a dog .
1294578091_2ad02fea91.jpg,A woman drawing portrait while a man on a cellphone watches .
1295669416_21cabf594d.jpg,A girl wearing a red and black striped shirt is sitting on a brick wall near a flower garden .
1295671216_cde1b9c9d1.jpg,A guy in a blue sweatshirt taking a picture .
1295698260_e10c53c137.jpg,"A crowd of people look at something out of frame , one man takes a picture ."
129599450_cab4e77343.jpg,A person hikes on a mountain .
1296412797_85b6d2f8d6.jpg,A child is being swung by her arms while another child watches .
1296770308_3db2022f5a.jpg,"There a several people in a dark bar-type room , including one girl on a stool ."
1298295313_db1f4c6522.jpg,A boy diving backward off a pier in a large lake .
1298866571_b4c496b71c.jpg,A serious looking young man with a suit holds a cellphone .
1299459550_1fd5594fa2.jpg,A young boy laying face down in water .
1299459562_ed0e064aee.jpg,"Three boys in baggy bathing suits play in splashing water in front a of grey , block wall ."
1301140633_046e4e8010.jpg,"Blond child with dirty face holding yellow bottle with red cap , plants in background ."
130211457_be3f6b335d.jpg,Two woman posing with a guy .
1302657647_46b36c0d66.jpg,A man swinging on the monkey bars
1303335399_b3facd47ab.jpg,A baby boy wearing a shoulder life saver is at the very edge of an orange pool slide .
1303548017_47de590273.jpg,The girl with the green tank top and grey shorts is standing in the middle of the empty railroad track .
1303550623_cb43ac044a.jpg,A young woman in jeans and a tank top standing on railroad tracks .
1303727066_23d0f6ed43.jpg,A man wearing a peace sign on his shirt smiles .
1303727828_d1052ee341.jpg,A person wears a headdress and sunglasses .
1304100320_c8990a1539.jpg,Two dogs bound over a flower-covered hill .
1304961697_76b86b0c18.jpg,Two kids on wake-boards attempt to give one another a high-five .
1305564994_00513f9a5b.jpg,A man in street racer armor is examining the tire of another racer 's motorbike .
1306145560_1e37081b91.jpg,A black dog carries an orange tennis ball in his mouth as he swims .
1307635496_94442dc21a.jpg,A smiling boy runs through the grass .
1308472581_9961782889.jpg,a boy in blue shirt splashing in water under a dock
1308617539_54e1a3dfbe.jpg,A child running through the water .
1309330801_aeeb23f1ee.jpg,The children are playing on the trampoline .
1311132744_5ffd03f831.jpg,A black and grey dog runs in a field with its tongue hanging out .
1311388430_4ab0cd1a1f.jpg,A person hanging from a telephone pole near the mountains .
1312020846_5abb4a9be2.jpg,two small tan puppies walking on a stone path
1312227131_771b5ed201.jpg,Sled dogs trekking through snow near a forest .
1312954382_cf6d70d63a.jpg,A little girl in an elaborate green and orange dress is chasing after a pink and white balloon figure .
1313693129_71d0b21c63.jpg,A young woman and a young boy stand on the shore of a river .
1313961775_824b87d155.jpg,A girl floating wearing a life vest .
1316247213_1d2c726dd5.jpg,A closeup of a little girl laughing .
131632409_4de0d4e710.jpg,Woman in a bikini top is walking on the beach
1317292658_ba29330a0b.jpg,A boy in bathing trunks is standing under a water shower .
1319634306_816f21677f.jpg,A brown dog is sitting in some long grass .
1321723162_9d4c78b8af.jpg,The two girls hold hands with one another while they skate on the ice .
1321949151_77b77b4617.jpg,Two children and some adults are sitting on a row of black couches .
1322323208_c7ecb742c6.jpg,"Two children , one of which is holding a stick , are standing on the beach as the sun begins to set ."
1324816249_86600a6759.jpg,a tan dog running through a field with his tongue hanging out
132489044_3be606baf7.jpg,A tired business man takes a quick nap while riding the train .
1329832826_432538d331.jpg,"People stand on a street corner at dusk , with a pharmacy in the background ."
1330645772_24f831ff8f.jpg,A black dog is running across a low cut field nearby an area of trees .
133189853_811de6ab2a.jpg,One man kissing another man on the check and both are in white shirts with black vests .
1332208215_fa824f6659.jpg,People sit inside a train .
1332492622_8c66992b62.jpg,A group of people stand on a balcony near a colorful circus building .
1332722096_1e3de8ae70.jpg,Three women walk down the street .
1332815795_8eea44375e.jpg,A baby swings in a swing near a wooden fence .
1332823164_c70a5d930e.jpg,A woman in a red jacket stands on the beach facing the water as it covers her feet .
1333888922_26f15c18c3.jpg,The sun breaks through the trees as a child rides a swing .
1334892555_1beff092c3.jpg,Two young girls playing with rubber swords in a park while a chaperone watches .
1335617803_4fbc03dab0.jpg,The two children make a funny pose in front of some bushes .
1337792872_d01a390b33.jpg,The little girl is wearing a denim dress and holding a brown teddy bear .
1338523142_57fce8229b.jpg,A man with a black and blue backpack hikes down a rock face .
133905560_9d012b47f3.jpg,"Two dogs , on standing on the other in the snow ."
1339596997_8ac29c1841.jpg,Three women in head scarves examine a camera .
1341787777_4f1ebb1793.jpg,"Brown dog on grass , drinking water spray from left side of frame ."
1342766791_1e72f92455.jpg,one small boy climbing a pole with the help of another boy on the ground
1342780478_bacc32344d.jpg,Man stands between concrete barriers near a donut shop .
1343426964_cde3fb54e8.jpg,a young man wearing swimming goggles wearing a blue shirt with a pirate skull on it
1346051107_9cdc14e070.jpg,Man playing musical instrument standing beside a yellow and red fire hydrant
1346529555_e916816cfe.jpg,A Yorkie jumped into the air to catch a red ball in its mouth .
134724228_30408cd77f.jpg,Two girls are walking down a dirt road in a park .
1347519824_e402241e4f.jpg,Some young adults are wearing green foam statute of liberty crowns .
1348113612_5bfc5f429e.jpg,A black and white dog jumping into a pool after tennis balls .
1348304997_afe60a61df.jpg,A barefoot red-headed girl jumping over a rail .
1348891916_ebd4413033.jpg,Brown dog running through shallow water .
134894450_dadea45d65.jpg,A guy leaps into the air in a wooded area .
1348947380_14f0fc1237.jpg,an elderly man is walking a brown dog using a red leash .
1348957576_c4a78eb974.jpg,The man and woman are sitting by the boats .
1350811702_2ce7cfd0c5.jpg,People fishing over white fence
1350948838_fdebe4ff65.jpg,A black and white dog jumping into a pool .
1351315701_6580b51c41.jpg,A black dog and a white dog race in a grassy field while spectators look on .
1351764581_4d4fb1b40f.jpg,A firefighter extinguishes a fire under the hood of a car .
135235570_5698072cd4.jpg,A man is being thrown a Frisbee in front of a monument and flags .
1352398363_9cc8ffcce9.jpg,A young boy in a pullup is covered in marker ink .
1352410176_af6b139734.jpg,Girl walking along the tops of wooden posts set into sand on a beach .
1354318519_2f9baed754.jpg,A child in front of his own reflection turning towards the camera and smiling .
1355450069_c0675b0706.jpg,a shirtless man climbing up the rock wall with rope safety lines
1355703632_5683a4b6fb.jpg,Young girl playing softball with white house in background
1355833561_9c43073eda.jpg,"At a beach , a man in an orange vest tosses a young child into the air ."
1355935187_2c99648138.jpg,A white dog is emerging from a blue canvas tunnel on an obstacle course .
1355945307_f9e01a9a05.jpg,Man driving race car number 7 .
1356543628_c13ebe38fb.jpg,Young girl carrying camping gear and a stuffed brown dog .
1356796100_b265479721.jpg,A young girl 's face looking through leaves .
1357689954_72588dfdc4.jpg,Young boy in climbing harness scaling a climbing wall .
1357724865_4faf4e1418.jpg,A man standing in the water at the base of a waterfall .
1357753846_6185e26040.jpg,A black dog crossing a stream
1358089136_976e3d2e30.jpg,A man is attempting to surf down a hill made of sand on a sunny day .
1358892595_7a37c45788.jpg,A young puppy with a red collar running with a leaf in its mouth .
1359101233_16c2c150e3.jpg,A dog with long hair and a red vest runs in the grass .
1361420539_e9599c60ae.jpg,The black dog is running through the grass .
1362128028_8422d53dc4.jpg,kids play in a blue tub full of water outside
1363843090_9425d93064.jpg,A dog walking through a small stream with a rag in his mouth .
1363924449_487f0733df.jpg,A little boy stands with his hands on top of his head
136552115_6dc3e7231c.jpg,A man jumping on his bmx with another bmxer watching .
136639119_6040b00946.jpg,A man climbs up a cliff and reaches an overhang .
136644343_0e2b423829.jpg,Young boy swinging on a tire swing .
136644885_f7d2bbf546.jpg,A woman is crossing a rope bridge .
1368338041_6b4077ca98.jpg,Three dogs looking at a cement ledge .
1368383637_614646cc4a.jpg,Three people and a black and white dog in bright industrial corridor .
136886677_6026c622eb.jpg,Two paddlers propel a canoe down a tree-lined stream .
1370615506_2b96105ca3.jpg,The Wine Shop
1370773415_967b1ffde1.jpg,The woman in a red jacket is talking to a man outside of a store .
1377668044_36398401dd.jpg,a man in shorts with a dog jumping to get the stick in his hand
1378557186_4bd1da6834.jpg,The man is aiming to shoot something while his dog watches .
1379026456_153fd8b51b.jpg,Man sitting with headphones at a laptop .
1383698008_8ac53ed7ec.jpg,Someone in yellow pants is on a ramp over the snow .
1383840121_c092110917.jpg,The brown dog is laying down on a blue sheet .
1384292980_4022a7520c.jpg,Two women walking .
1386251841_5f384a0fea.jpg,A woman looks at some mannequins in a window display .
1386964743_9e80d96b05.jpg,A young child stands in a path in a field of sunflowers .
138705546_be7a6845dd.jpg,"Two little girls in bathing suits sit on the shore of a lake , watching someone fishing from a boat ."
138718600_f430ebca17.jpg,Two blonde women sit beside their bicycles in the grass beside a body of water .
1387443857_602ab6f9bf.jpg,An old man sits .
1387461595_2fe6925f73.jpg,Three men standing near a large stone sign .
1387785218_cee67735f5.jpg,A little kid in blue shoes is pushing a toy baby in a stroller .
1388346434_524d0b6dfa.jpg,"A man , leaning against a concrete wall with his arms resting on top , looks over a balcony ."
1388373425_3c72b56639.jpg,A woman speaks on her cellphone with her purse and a yellow bag on the ledge next to her .
1388970365_162edcceb4.jpg,Three dogs in a field looking at something in the grass .
1389264266_8170bc1c54.jpg,A girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her .
1389323170_d1c81d6b51.jpg,Woman holding a drink with a white bag next to her is sitting on a green sculpture .
1389651420_8d95d8f6ed.jpg,A little boy grinning with a go cart in the background .
1390268323_2c8204e91c.jpg,Two children climb into the back of a vehicle from the front seat .
1392272228_cf104086e6.jpg,A black dog carrying some seaweed out of the water .
1394368714_3bc7c19969.jpg,A person holding a small dog on a leash is bending over and looking through items .
1394396709_65040d97ab.jpg,A brown dog carrying a black object .
1394599090_fe0ba238f0.jpg,A man lifting a little boy out of the water .
1394620454_bf708cc501.jpg,A man posing in a rocky area
1394927474_0afdd82fc4.jpg,A young man with a green star balloon is standing next to an expansive door and building .
